VENDOR_NAME,CHECK_NUMBER,CHECK_DATE,CHECK_AMOUNT,INVOICE_NUM,INVOICE_DESCRIPTION,DIST_AMOUNT,DISTDESCRIPTION,FUND,FUND_DESCRIPTION,COST_CENTER,COST_DESCRIPTION,ACCOUNT,ACCOUNT_DESCRIPTION,TYPE_OF_DISBUSEMENT
Intoprint Technologies Inc.,663724,05/14/2015,390.00,159361,ACCT CO13,195.00,"Ink Drums-Black, Cyan, Magenta, Yellow. Print white reflective stickers, trim to size and pack in bulk; 18x24 on 3/16&#65533; white foamcore with easel back; 11x17 poster mount to 3/16&#65533; white foamcore, add matte, insert in frame add ha",100,General Fund,2007,DIT-Printshop,10331,A/R Printing Services,CHECK
Social Services Provider,666420,05/29/2015,16500.80,PVDSS01064083,Redacted per Section 63.2-104 of the Code of Virginia,16500.80,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665317,05/28/2015,5548.58,PVDSS01063068,Redacted per Section 63.2-104 of the Code of Virginia,70.05,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,660279,05/05/2015,7852.40,PVDSS01062519,Redacted per Section 63.2-104 of the Code of Virginia,7852.40,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665590,05/28/2015,568.00,PVDSS01064253,Redacted per Section 63.2-104 of the Code of Virginia,568.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665452,05/28/2015,2006.00,PVDSS01063444,Redacted per Section 63.2-104 of the Code of Virginia,541.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,660287,05/05/2015,27395.50,PVDSS01062434,Redacted per Section 63.2-104 of the Code of Virginia,7049.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
HD SUPPLY WATERWORKS LTD,662375,05/11/2015,7598.50,D737617,ACCT # 095164,648.10,SLEEVE WATER TAPPING MJ SS  6&quot; X 6&quot; 665069006MJ200,811,Stores Operating Fund,99001,DPU Administration,21001,Accounts Payable-Control Account,CHECK
Social Services Provider,665703,05/28/2015,431.00,PVDSS01064308,Redacted per Section 63.2-104 of the Code of Virginia,431.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
HENKEL'S AND  MCCOY INC,127393,05/05/2015,155126.74,GLR-I2250,CUSTOMER 1834405,73.08,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
HENKEL'S AND  MCCOY INC,127393,05/05/2015,155126.74,GLR-I2250,CUSTOMER 1834405,73.08,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
LOWE'S HOME CENTER,128890,05/06/2015,471.81,903468,Operating Supplies,471.81,Battery Park:  supplies &amp; equipment for kitchen renovation,100,General Fund,3010,Parks&Rec-Northside Richmond,72153,"Equipment (Less Than 5,000)",EFT
LOWE'S HOME CENTER,128890,05/06/2015,471.81,903468,Operating Supplies,471.81,Battery Park:  supplies &amp; equipment for kitchen renovation,100,General Fund,3010,Parks&Rec-Northside Richmond,72153,"Equipment (Less Than 5,000)",EFT
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2325,CUSTOMER 1834405,671.52,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,70552,Contract And Temporary Personnel Services,EFT
HENKEL'S AND  MCCOY INC,133518,05/28/2015,105487.13,GLR-I2371,CUSTOMER 1834405,463.33,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
PLEASANTS HARDWARE INC,662234,05/08/2015,1389.92,257340/7,Cust # 60724,15.99,SPEED SQUARE 12&quot;&quot; MANGUM,100,General Fund,3005,Parks&Rec-James River Par,71182,Lumber,CHECK
HENKEL'S AND  MCCOY INC,133518,05/28/2015,105487.13,GLR-I2372,CUSTOMER 1834405,338.11,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
HENKEL'S AND  MCCOY INC,127393,05/05/2015,155126.74,GLR-I2250,CUSTOMER 1834405,146.17,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76120,Paving,EFT
TSRC INC,131818,05/20/2015,2444.28,2301518-0,CUST# 1002748,17.38,"Post-it Notes,Original Pads,3&quot;&quot;x5&quot;&quot;,100 SH/PD12/PK,Canary",100,General Fund,1001,Attorney-Legal Counsel,71012,Office Supplies And Stationary,EFT
Social Services Provider,666421,05/29/2015,4860.00,PVDSS01064514,Redacted per Section 63.2-104 of the Code of Virginia,4860.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665396,05/28/2015,462.00,PVDSS01063269,Redacted per Section 63.2-104 of the Code of Virginia,462.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665483,05/28/2015,1082.00,PVDSS01063274,Redacted per Section 63.2-104 of the Code of Virginia,541.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665572,05/28/2015,568.00,PVDSS01064257,Redacted per Section 63.2-104 of the Code of Virginia,568.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,666403,05/29/2015,2000.00,PVDSS01064044,Redacted per Section 63.2-104 of the Code of Virginia,900.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2704,Social Ser-General Relief,76303,General Relief-Burial Asst.,CHECK
HENKEL'S AND  MCCOY INC,130395,05/12/2015,247976.39,WLR-I1877,CUSTOMER 1834405,1040.00,O &amp; M Repairs,808,Water Operating Fund,92002,Water Maintenance,70552,Contract And Temporary Personnel Services,EFT
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2296,CUSTOMER 1834405,127.54,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2296,CUSTOMER 1834405,127.54,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
HD SUPPLY UTILITIES,129440,05/11/2015,4045.50,2829338-00,CUST 58833,15.00,WASHER ROUND GALV 9/16&quot; X 1-3/8&quot;,811,Stores Operating Fund,99001,DPU Administration,21001,Accounts Payable-Control Account,EFT
SID TOOL CO INC,660241,05/04/2015,320.34,39510865REENTER,PACKING 3951088,320.34,Do not ship order...opened for pymt PO#14000022482 (not enough funds)  16&quot; GP Concrete Diamond Blade-INV#39510865,809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,CHECK
FERGUSON ENTERPRISES INC,663743,05/14/2015,1559.25,3276021,CUST # 150237,1559.25,PIPE BLK 21 FT LENGTH   3/4&quot; (DOMESTIC  ONLY) A-53,811,Stores Operating Fund,99001,DPU Administration,21001,Accounts Payable-Control Account,CHECK
Social Services Provider,663879,05/18/2015,972.00,PVDSS01062791,Redacted per Section 63.2-104 of the Code of Virginia,54.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665326,05/28/2015,1786.00,PVDSS01063454,Redacted per Section 63.2-104 of the Code of Virginia,1100.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665520,05/28/2015,19080.00,PVDSS01064029,Redacted per Section 63.2-104 of the Code of Virginia,270.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,664851,05/26/2015,100.00,PVDSS01063083,Redacted per Section 63.2-104 of the Code of Virginia,100.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665382,05/28/2015,4290.00,PVDSS01063581,Redacted per Section 63.2-104 of the Code of Virginia,500.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665741,05/28/2015,532.00,PVDSS01064284,Redacted per Section 63.2-104 of the Code of Virginia,532.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
TSRC INC,133528,05/28/2015,215.72,2300204-0,CUST 6460000,0.23,"Original Pop-up Notes, 100 Sheets/Pad, 3&quot;&quot;x5&quot;&quot;, Yellow",904,Electric Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,EFT
Social Services Provider,661998,05/07/2015,121.00,PVDSS01062410,Redacted per Section 63.2-104 of the Code of Virginia,121.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
ABLE GLASS SERVICES RICHMOND,131777,05/20/2015,839.50,25513,1 HR LABOR-REMOVE &amp; RE-TINT 3 WINDOWS,350.00,Tint  on (2) windows at the Juvenille Detention Center.,100,General Fund,2902,DPW-Gen Svcs-Facili,70211,Building Repair And Maint Services,EFT
Social Services Provider,665863,05/28/2015,2440.04,PVDSS01064065,Redacted per Section 63.2-104 of the Code of Virginia,153.86,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
SCHNABEL ENGINEERING CONSULTANTS INC,129115,05/07/2015,55393.03,6011738,PROJECT 101816,10463.40,"Environmental sampling &amp; analysis of soils, soil gas, air and groundwater at 1801 Commerce Road per Proposal No. P4613246 dated 1/15/2015.  Project #101816 and Contract #15000009149.",803,Wastewater Constructions Fund,96001,Technical Services,70123,Contractor Construction Sevices,EFT
Social Services Provider,665522,05/28/2015,1358.00,PVDSS01063292,Redacted per Section 63.2-104 of the Code of Virginia,672.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
R AND R OFFICE SUPPLY,664689,05/21/2015,1508.35,0461750-001,acct# CRPA01-0,8.42,Heavyweight envelopes store and protect your CDs/DVDs. Clear 4-1/4&quot;&quot;&quot;&quot; diameter window reveals your CD/DVD label. Close ungummed flap by tucking it into the half-circle cut in the back of the envelope.,100,General Fund,1001,Attorney-Legal Counsel,71012,Office Supplies And Stationary,CHECK
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2358,CUSTOMER 1834405,303.22,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76120,Paving,EFT
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2365,CUSTOMER 1834405,42.61,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2365,CUSTOMER 1834405,42.61,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2321,CUSTOMER 1834405,1824.30,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,70552,Contract And Temporary Personnel Services,EFT
TSRC INC,131818,05/20/2015,2444.28,2302739-0,CUST# 6460000,4.94,"&quot;&quot;Sign Here&quot;&quot; Flags,1/2&quot;&quot;x1/3-4&quot;&quot;,120Flags/PK, Assorted",100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,71012,Office Supplies And Stationary,EFT
OFFICE INC,663686,05/14/2015,481.22,0012261-001REENTER,ACCT RICH1PM2,6.49,"LLR44552 - 6&quot;&quot; Clip-On Personal Fan mounts wherever needed. Strong, easy-to-open clamp with rubber grips holds tight while preventing scratches. Fan is equipped with two-speed operation and adjustable tilt mechanism. The mounting clip opens",807,Gas Operating Fund,98001,Customer Service,71012,Office Supplies And Stationary,CHECK
Social Services Provider,665936,05/28/2015,686.00,PVDSS01063362,Redacted per Section 63.2-104 of the Code of Virginia,686.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665583,05/28/2015,26565.00,PVDSS01064510,Redacted per Section 63.2-104 of the Code of Virginia,7751.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2363,CUSTOMER 1834405,39.78,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,70552,Contract And Temporary Personnel Services,EFT
GTT ENTERPRISES INC,660022,05/01/2015,5356.40,DSWM-357,"W/E 4/4/15 ALBAYERO, HOLLOWAY, C JONES, HOBSON, GAITERS, FIZGERALD, SHIPP &amp; SORDEN",3822.00,Field Service Tech,100,General Fund,2903,DPW-Solid Waste Man,70552,Contract And Temporary Personnel Services,CHECK
Social Services Provider,665370,05/28/2015,2286.00,PVDSS01063624,Redacted per Section 63.2-104 of the Code of Virginia,686.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
NOVA SHREDDING LLC,660223,05/04/2015,118.10,10880,"SHREDDING 900 EAST MARSHALL ST.LEVEL A, 1ST, 2ND &amp; 3RD FLOOR",19.69,MPB - 03/2014,100,General Fund,2708,Social Ser-Adult/Family Ad,72175,Refuse & Recycling Expenses,CHECK
FERGUSON ENTERPRISES INC,663699,05/14/2015,2494.46,3242832,CUST # 150237,75.60,NIPPLE BLK 2&quot; X  2 1/2&quot;,811,Stores Operating Fund,99001,DPU Administration,21001,Accounts Payable-Control Account,CHECK
Social Services Provider,665730,05/28/2015,1036.00,PVDSS01063565,Redacted per Section 63.2-104 of the Code of Virginia,350.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
WEST PUBLISHING CORPORATION,131027,05/15/2015,286.00,829578807,ACC # 1000613929,644.43,Reference books that have been received in full by J &amp; DR Courts.,100,General Fund,1901,JDC-Court Functions,71141,Books & Reference Materials,EFT
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2363,CUSTOMER 1834405,53.04,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
RIBBONS AND ROLLS  INC,660120,05/04/2015,1061.49,0458011-001,ACCT CRPA01-0,6.60,"Item #ACC72050 Binder Clips- medium
Office Supplies for HS Division R&amp;R quote #0008008",401,Special Revenue Fund,1003,Attorney-Juv&Domestic Relations,71012,Office Supplies And Stationary,CHECK
Social Services Provider,665771,05/28/2015,3300.00,PVDSS01063138,Redacted per Section 63.2-104 of the Code of Virginia,550.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
TSRC INC,129277,05/08/2015,311.83,2294089-0,Cust # 6460000,28.62,"Vertical Organizers, 6 Sections, 12&quot;&quot;x11&quot;&quot;x8-1/8&quot;&quot;, Black",100,General Fund,2703,Social Ser-Fin Assist Admi,71012,Office Supplies And Stationary,EFT
Social Services Provider,665781,05/28/2015,568.00,PVDSS01064349,Redacted per Section 63.2-104 of the Code of Virginia,568.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,664879,05/26/2015,400.00,PVDSS01062981,Redacted per Section 63.2-104 of the Code of Virginia,400.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
CENTRAL HARDWARE SUPPLY,128874,05/06/2015,509.76,INV7539,"SIGN STAND, SAFETY GLASSESS",438.00,SIGN STAND FOR 48&quot; SIGNS,811,Stores Operating Fund,99001,DPU Administration,21001,Accounts Payable-Control Account,EFT
Social Services Provider,665732,05/28/2015,991.00,PVDSS01063729,Redacted per Section 63.2-104 of the Code of Virginia,450.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665942,05/28/2015,2309.00,PVDSS01063439,Redacted per Section 63.2-104 of the Code of Virginia,541.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665214,05/28/2015,55.00,PVDSS01064415,Redacted per Section 63.2-104 of the Code of Virginia,55.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,666403,05/29/2015,2000.00,PVDSS01064042,Redacted per Section 63.2-104 of the Code of Virginia,550.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2704,Social Ser-General Relief,76303,General Relief-Burial Asst.,CHECK
R AND R OFFICE SUPPLY,664689,05/21/2015,1508.35,0462386-001,Acct # CRPA01-0,30.81,Business Hours Sign offers a heavy-duty plastic construction. Includes suction cups and a complete set of 176 3/4&quot;&quot;&quot;&quot; characters to customize your business hours. Hooks on bottom so you can attach optional U.S. Stamp &amp; Sign Century Series O,100,General Fund,3607,Econ Dev-Workforce Devel,70161,Management Services,CHECK
Social Services Provider,665507,05/28/2015,686.00,PVDSS01063753,Redacted per Section 63.2-104 of the Code of Virginia,686.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
HENKEL'S AND  MCCOY INC,133518,05/28/2015,105487.13,GLR-I2371,CUSTOMER 1834405,463.33,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76120,Paving,EFT
Social Services Provider,665513,05/28/2015,1572.00,PVDSS01063404,Redacted per Section 63.2-104 of the Code of Virginia,686.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,662274,05/11/2015,216.58,PVDSS01062610,Redacted per Section 63.2-104 of the Code of Virginia,216.58,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
NOLAND COMPANY,665114,05/27/2015,14745.06,336883 00,cust# 874-048028,62.16,BOLT GALV 1&quot; X 3 1/2&quot;,811,Stores Operating Fund,99001,DPU Administration,21001,Accounts Payable-Control Account,CHECK
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2359,CUSTOMER 1834405,224.82,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2359,CUSTOMER 1834405,224.82,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
HENKEL'S AND  MCCOY INC,127393,05/05/2015,155126.74,GLR-I2272,CUSTOMER 1834405,629.86,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,70552,Contract And Temporary Personnel Services,EFT
Social Services Provider,666432,05/29/2015,84.00,PVDSS01064560,Redacted per Section 63.2-104 of the Code of Virginia,84.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,663560,05/13/2015,2543.40,PVDSS01062689,Redacted per Section 63.2-104 of the Code of Virginia,145.90,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,663886,05/18/2015,252.42,PVDSS01062890,Redacted per Section 63.2-104 of the Code of Virginia,252.42,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
HENKEL'S AND  MCCOY INC,132032,05/21/2015,312482.46,GLR-I1861,CUSTOMER 1834405,254.71,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
Social Services Provider,665615,05/28/2015,1966.00,PVDSS01063317,Redacted per Section 63.2-104 of the Code of Virginia,686.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
HENKEL'S AND  MCCOY INC,133518,05/28/2015,105487.13,GLR-I2370,CUSTOMER 1834405,152.97,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
HENKEL'S AND  MCCOY INC,133518,05/28/2015,105487.13,GLR-I2370,CUSTOMER 1834405,152.97,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,EFT
Social Services Provider,664450,05/20/2015,2279.61,PVDSS01062865,Redacted per Section 63.2-104 of the Code of Virginia,67.34,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665554,05/28/2015,1722.00,PVDSS01063785,Redacted per Section 63.2-104 of the Code of Virginia,175.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
HENKEL'S AND  MCCOY INC,127092,05/04/2015,285783.17,GLR-I2350,CUSTOMER 1834405,7635.75,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,70552,Contract And Temporary Personnel Services,EFT
Social Services Provider,665479,05/28/2015,6172.00,PVDSS01063598,Redacted per Section 63.2-104 of the Code of Virginia,2560.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
TSRC INC,129450,05/11/2015,528.84,2298036-0,CUST # 6460000 DEPT # 2596,1.33,"All-purpose Scissors, Bent, 8&quot;&quot; L, Blue Handle",808,Water Operating Fund,98001,Customer Service,71012,Office Supplies And Stationary,EFT
Social Services Provider,665428,05/28/2015,541.00,PVDSS01063229,Redacted per Section 63.2-104 of the Code of Virginia,541.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,663879,05/18/2015,972.00,PVDSS01062792,Redacted per Section 63.2-104 of the Code of Virginia,54.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,662455,05/12/2015,57698.40,PVDSS01062657,Redacted per Section 63.2-104 of the Code of Virginia,57698.40,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
Social Services Provider,665520,05/28/2015,19080.00,PVDSS01063997,Redacted per Section 63.2-104 of the Code of Virginia,270.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
HENKEL'S AND  MCCOY INC,133518,05/28/2015,105487.13,GLR-I2376,CUSTOMER 1834405,82.70,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,70552,Contract And Temporary Personnel Services,EFT
R AND R OFFICE SUPPLY,663289,05/12/2015,6120.42,0461816-001,ACCT# CRPA01-0,24.15,Binder two tone 1&quot; view,810,Storm Water Operating Fund,91002,Stormwater Maintenance,71012,Office Supplies And Stationary,CHECK
R AND R OFFICE SUPPLY,663289,05/12/2015,6120.42,0461816-001,ACCT# CRPA01-0,24.15,Binder two tone 1&quot; view,810,Storm Water Operating Fund,91002,Stormwater Maintenance,71012,Office Supplies And Stationary,CHECK
URS CORPORATION,131821,05/20/2015,15689.41,6246901,VENDER # 941716908,15689.41,WTP Finished Water Basin Cover Project Construction Management &amp; Inspection Services per URS Task Order #4 dated 7/30/14.  Project #100280 and Contract #14000013854.,802,Water Construction Fund,96001,Technical Services,70161,Management Services,EFT
CENTRAL HARDWARE SUPPLY,131258,05/18/2015,5703.18,INV7591,Operating Supplies,206.64,PLIER NEEDLE NOSE 8&quot; #5C564,811,Stores Operating Fund,99001,DPU Administration,21001,Accounts Payable-Control Account,EFT
R AND R OFFICE SUPPLY,663739,05/14/2015,4518.39,0460043-001,ACCT # CRPA01-0,39.50,"Medium-duty punch drills a single 1/4&quot;&quot;&quot;&quot; clean, round hole in up to 15 sheets of paper at a time. Ideal for billing documents. Punch features a removable chip receptacle and a 2&quot;&quot;&quot;&quot; throat reach.",100,General Fund,2703,Social Ser-Fin Assist Admi,71012,Office Supplies And Stationary,CHECK
Social Services Provider,664649,05/21/2015,25327.40,PVDSS01062750,Redacted per Section 63.2-104 of the Code of Virginia,794.64,Redacted per Section 63.2-104 of the Code of Virginia,201,Grants Fund,0,Default,0,Default,CHECK
OLD DOMINION ELECTRICAL,664375,05/19/2015,1300.54,1813,"DRILL BITS, CONDUIT, LIGHTS &amp; WIRE",21.96,QUOTE FROM COLIN: MORRIS #13624 1/4 X 6 MASSONRY DRILL BITS,808,Water Operating Fund,92002,Water Maintenance,76104,Utility Operating Supplies,CHECK
KIMLEY-HORN AND ASSOC  INC,133924,05/29/2015,17033.60,6638032,PROJECT # 113157015.1,6765.45,Harrison &amp; Grace Streets Drainage Improvement Design Services - to alleviate drainage &amp; flooding issues occurring at intersection.   Project #102738 and Contract #14000000821.,806,Storm Water Construction Fund,96001,Technical Services,76401,Construction,EFT
Social Services Provider,665692,05/28/2015,7445.00,PVDSS01063231,Redacted per Section 63.2-104 of the Code of Virginia,100.00,Redacted per Section 63.2-104 of the Code of Virginia,100,General Fund,2701,Social Ser-Administration,99999,conversion,CHECK
PLEASANTS HARDWARE INC,664938,05/26/2015,2324.53,239863/7REENTER,CUST# 60715,-50.97,BLADE SAWZAL 6&quot;&quot; 24T Pack5,100,General Fund,3020,Parks&Rec-Southside Rva,70211,Building Repair And Maint Services,CHECK
HENKEL'S AND  MCCOY INC,127393,05/05/2015,155126.74,GLR-I2284,CUSTOMER 1834405,13.78,Henkels &amp; McCoy Inc. - Gas Leak &amp; Meter Relocations,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,70552,Contract And Temporary Personnel Services,EFT
